#           x             T           CH4            O2            N2           CO2           H2O
       0.0136       1014.94   4.63001e-06      0.156976      0.776263     0.0367062     0.0300511
       0.0136       1014.94   4.63001e-06      0.156976      0.776263     0.0367062     0.0300511
       0.0136       1014.94   4.63001e-06      0.156975      0.776263     0.0367063     0.0300511
       0.0137       964.306   3.19122e-06      0.162436       0.77638     0.0336399     0.0275408
       0.0138       913.675   1.75244e-06      0.167897      0.776498     0.0305737     0.0250304
      0.01385       890.289   1.52402e-06      0.170351      0.776511     0.0292169     0.0239197
       0.0139       866.903   1.29559e-06      0.172806      0.776524     0.0278602      0.022809
      0.01395       843.518   1.06717e-06       0.17526      0.776537     0.0265035     0.0216982
        0.014       820.132   8.38747e-07      0.177715       0.77655     0.0251468     0.0205875
       0.0141       775.104   7.05856e-07      0.182321      0.776491     0.0226466     0.0185406
       0.0142       730.075   5.72966e-07      0.186928      0.776432     0.0201463     0.0164936
       0.0143       688.447    5.2157e-07      0.191092      0.776291     0.0179339     0.0146823
       0.0144       646.818   4.70175e-07      0.195257       0.77615     0.0157215     0.0128711
       0.0144       646.818   4.70175e-07      0.195257       0.77615     0.0157215     0.0128711
       0.0144       646.818   4.70175e-07      0.195257       0.77615     0.0157216     0.0128711
       0.0145       609.916   4.29982e-07      0.198886      0.775937     0.0138435     0.0113336
       0.0146       573.013    3.8979e-07      0.202515      0.775723     0.0119655    0.00979605
       0.0147       541.068   3.49524e-07      0.205623      0.775449     0.0104077     0.0085207
       0.0148       509.124   3.09259e-07       0.20873      0.775174    0.00884993    0.00724536
      0.01485       495.673   2.89968e-07      0.210032      0.775015    0.00822195    0.00673124
       0.0149       482.223   2.70677e-07      0.211334      0.774855    0.00759398    0.00621712
      0.01495       468.773   2.51387e-07      0.212636      0.774695      0.006966      0.005703
        0.015       455.322   2.32096e-07      0.213938      0.774536    0.00633803    0.00518889
       0.0151       433.371   1.98408e-07      0.216063       0.77419    0.00535951    0.00438778
       0.0152       411.421    1.6472e-07      0.218188      0.773845      0.004381    0.00358668
       0.0153       394.128   1.37875e-07       0.21987      0.773495    0.00364844    0.00298695
       0.0154       376.836    1.1103e-07      0.221552      0.773145    0.00291589    0.00238721
       0.0154       376.836    1.1103e-07      0.221552      0.773145    0.00291589    0.00238721
